"","S_2","S_4","S_6","S_8","S_10","S_12","S_14","S_16","S_18","S_20","S_22","S_24","S_28","S_30","S_32","S_34","S_36","S_38","S_40","S_42","S_44","S_46","S_48","S_50","S_52","S_54","S_56","S_58","S_60","S_62","S_64","S_66","S_68","S_70","S_72","S_74","S_76","S_78","S_80","S_82","S_84","S_86","S_88","S_90","S_92"
"GII.4c",0.72306401193784,0.739412725894001,1.39939438656064,0.764010417180435,0.333939073984606,0,0.723722196292968,1.09596808576348,0.842292873009145,1.12280868278442,0.668876312767683,0.981408412019478,0.808016051699155,1.90872863053283,1.00823517064979,1.3067985700341,0.575894907564562,0,0.949806584015564,0.0514122372688748,0.23180444902899,0.76948052276164,0.553379855511276,0.527198174914315,1.05371654818367,0.34732100259117,1.02572888031124,0,0.770463374230317,0.622170945824418,1.25725356901774,1.34569859887429,0.831318165408319,0.741902433816906,0.686367965118694,0.206380216006821,0.425223950077013,0.327189654027857,0,1.332102556831,1.53436704219439,0.54917973886069,0.913548898643204,0.579472947622853,0.555075384074311
"SY2012",1.92318605850859,0.806055181695616,7.51258921128664,6.25602102156648,1.93265161940905,3.0175104830174,5.15227271071412,8.61599738997567,3.30869097578212,1.3443882471,4.02693819370876,3.84760549738765,2.0058283651957,3.06091204958787,3.87228098842076,3.19484609445079,1.60885510633896,2.96607898286368,1.74100361744242,0.13748548566514,8.20334800297976,4.20530479924946,5.17632535291559,3.65678028899747,4.13036393034002,1.75467375373121,4.89325532832865,3.73967847762642,2.55470526533405,1.63632143416745,3.76153431538793,2.35755200461808,4.79399653920258,3.35471149367706,1.2676374372344,5.5581145385984,2.77876469615973,2.5675311988742,0,2.63968471926269,5.02092583885455,3.96970776945256,3.07013926158391,1.12360908209155,4.30398312572368
"SF2017",2.30913372302868,4.14605093049052,7.59722674637737,6.30814427945426,1.14032788401194,3.38152861536006,4.99544569814073,8.61599738997567,5.9940705277412,2.98188355306466,5.40963761392592,8.34069894280696,4.98893808399341,3.06091204958787,3.86759112329053,3.17957933779747,6.18841878068285,5.21614486046077,4.91949063238815,0.746255045347968,8.20334800297976,4.38120730793758,6.33912448361317,5.00885929512227,4.78863285927677,0.710979292505233,4.97152659872132,5.49968646445849,5.0038232754238,1.80915803102967,5.7060807616561,2.35755200461808,5.51581633968039,3.71794656272134,2.71718710861674,5.5581145385984,6.53453755891612,4.75612110210258,0,5.75972461258151,7.34429590791582,6.46923479366766,4.80900227476321,6.41362792902417,6.85611423397746
"WI2021",3.18148143366807,4.08592993805295,7.8569860201783,6.89711347399699,3.55581615506164,4.69738463076402,5.8603364557716,7.52007296997713,5.25638376633134,3.05382992746437,5.22027273165992,7.21883190218601,4.19625033624029,3.06091204958787,4.72419151530703,3.33502375249905,3.07999127595881,5.07596720241251,2.60190800777675,1.34657926404348,3.85958488083016,3.95922477190608,5.90979632678393,4.66349636765349,5.91072377088837,1.75467375373121,8.03397110187573,5.49968646445849,2.84016448180771,3.21792672661958,3.98760239486778,2.35755200461808,5.79210176901204,4.28765018350342,2.43609495581173,5.5581145385984,2.82345848613836,3.01091045903203,0,5.7148558444144,4.8308051623277,3.95069965468548,3.05924107529192,4.58094041258464,5.61061857115754
"AL2018",2.06094389874552,3.336336735559,3.04158333031536,4.74302387581162,2.35042364207196,3.57140297690931,4.78615968881855,6.09369049710428,5.24990943217079,1.82887385367031,4.77994213417572,3.74641768212792,2.63819391988082,3.06091204958787,3.94610357046245,2.77555159874923,2.41947774223048,6.25738784269265,1.95119195926631,1.70098096558353,1.68292575445332,3.87763632168884,4.29160820252912,3.59228584152702,3.63975608892565,1.75467375373121,3.23711670945887,3.82161455934585,3.36269868930112,2.04619722833052,3.93387041092999,2.35755200461808,4.15933943328073,3.11218274327791,1.9557880059658,5.5581145385984,2.59264961247052,2.6918566266261,0,2.09642768615229,3.99167860895731,2.01341442858274,3.39184858400275,2.45478525378093,4.46517146117492
"CW1987",3.19369910759729,0.111492835228454,0,0.0744345399493476,2.01976325482143,2.90869892015049,0.0162259915498559,0.379265617836522,0,1.61312229336742,0.0607036397300345,0.0978198526233669,0.0759964920868512,1.47282709105389,0,0.123726103063957,0.79843925550613,6.25738784269265,0.310214674323573,1.37764604948192,0.0439811932360268,0,0.0843416707852462,0,0.243727367863645,1.75467375373121,0.383552762178489,3.11149692730241,0.750480400640688,2.26192591938595,0.140619643282335,0.925394317307533,0.0818044464623746,0.055060319076536,0.900629309586197,3.26916543401381,0.0514195713604089,0.0997314126518045,0,0.125462609834319,0.560315494232021,0.568367985686907,0,1.85413611581913,1.60420582373579
"US95/96",3.05535926580725,0,0.0966034404199618,0,2.4598917350631,2.58401751000422,0,0,0.045411282181048,1.17644792081661,0,0,0,1.24472196686062,0.0825074460757058,0,0.566808465681795,6.25738784269265,0,1.90270279864508,0,0.0917737182560092,0.262067127861998,0.109471588107831,0,0.634321813365988,0.682092524331678,4.23725330682714,0,2.41792355633603,0,2.35755200461808,0,0.5792870605109,0.548657588541552,3.4505940450068,0,0,0,0,1.01427539207973,0,0.14685999618596,1.79128320629994,0.989453483157473
"FH2002",0.0839748674008582,0.57224881673511,0.343565285262464,1.52284078881336,0.26745759286798,1.91917605436594,1.18814606128713,0.791038649447145,0.723541585360479,0,0.839782005594973,0.96038488191927,0.642727460377561,0,0.36923915584188,1.07386989662636,0,3.52837897235479,0.570030635329706,0.112308982369842,2.07922669115057,1.52555493987555,0,0.470890734012361,0.203073198905059,1.75467375373121,0.782576771597254,2.52699381045423,2.16961461094178,0,0.982512573271159,0,0.883089689146551,0,0,2.47234998482008,1.01766219611201,0.629485070869072,0,0.371394587977399,0,0.0692092757536331,1.34636109965002,1.88131096969141,0
"DH2006b",0.554718068629279,1.73552151046284,6.51390958338458,4.45076034006147,0,2.65965100331751,4.32727591750616,4.45854939370137,2.43304994991193,0.807084577253873,3.68045163731588,3.30534744762074,1.19403064974749,0.370494954055408,1.41829163561155,2.0754388962817,0.338572617002299,2.67784561775575,1.2832476267233,0,5.6111900008544,2.92994519495489,1.8940066165301,2.08338043337455,3.66773123104059,1.75467375373121,5.66999937967792,2.82274210535158,2.08091999538357,0.559544140958195,2.06760407095643,0.799529331092844,3.94418137060623,2.04001496802078,0.745593542544372,4.2950801327646,1.58962735630429,2.0800946700174,0,1.39984716346683,1.95094835653857,0.896799827685326,0.753032573416856,0,2.10095959080019
"NO2009",4.78368039560289,3.88242634463586,9.44842608497066,8.45121111183233,2.40818382823778,4.69738463076402,6.49003449651633,8.61599738997567,4.92110725618597,3.48672518787664,5.05290415970761,8.77138847577061,4.84015701314704,3.06091204958787,5.57178151309017,4.15117562279381,2.77366003612247,6.25738784269265,2.45072114917152,2.44578731296692,5.57107978748025,5.22215259172225,7.50029589233181,4.94048221886988,5.71057645806343,1.75467375373121,9.0547399669703,5.49968646445849,3.36461589229541,4.70154905694307,5.45837637413757,2.35755200461808,6.63240739692834,4.73920406636221,2.81654014047366,5.5581145385984,5.31442427713881,4.4374053123073,0,6.12523323873815,5.14046830997369,4.3450721148318,4.96852221832543,3.62807737728492,6.85611423397746
"YE2006a",0,2.80070194720141,1.98776542036306,2.3626878552157,0.756728848987636,0.796276387749511,2.2379233450491,2.24182731390717,1.15423687932388,1.11174835765246,0.527776686534384,2.18013909243028,1.08251400254931,3.06091204958787,2.65920621252658,1.01121755575276,1.57931713192776,0.109674120340499,0.756512569092038,0.100463650667529,2.01649093580261,2.52407601094964,1.79163668831067,1.09379577471524,1.10618396807781,0,0,1.29726874288331,1.49573862262362,0.936544810693036,1.61380506005982,2.35755200461808,0.9944189677367,0.939310457785262,0.766489552964667,0,1.06185232889665,1.20951045345678,0,1.37626034314922,3.93083721990784,0.624999805908905,1.21114766416883,2.13713126338382,0.568863590722843
