"","Virus 1","Virus 2","Distance"
"1","GII.4c","GII.4c",0
"2","SY2012","GII.4c",3.34315551815843
"3","SF2017","GII.4c",4.10186997173746
"4","WI2021","GII.4c",4.0665502895308
"5","AL2018","GII.4c",2.64159386730752
"6","CW1987","GII.4c",1.04165193904852
"7","US95/96","GII.4c",0.850273504738298
"8","FH2002","GII.4c",0.547586911142958
"9","DH2006b","GII.4c",2.37352645101522
"10","NO2009","GII.4c",4.12230300942295
"11","YE2006a","GII.4c",0.480312313627133
"12","GII.4c","SY2012",3.34315551815843
"13","SY2012","SY2012",0
"14","SF2017","SY2012",1.92222314682195
"15","WI2021","SY2012",1.50951480951288
"16","AL2018","SY2012",1.1925564104176
"17","CW1987","SY2012",3.83460020344175
"18","US95/96","SY2012",3.64954163741131
"19","FH2002","SY2012",3.26230712110559
"20","DH2006b","SY2012",1.43996961622054
"21","NO2009","SY2012",1.37945962630186
"22","YE2006a","SY2012",2.92133788376339
"23","GII.4c","SF2017",4.10186997173746
"24","SY2012","SF2017",1.92222314682195
"25","SF2017","SF2017",0
"26","WI2021","SF2017",0.49224550271416
"27","AL2018","SF2017",2.97027109649742
"28","CW1987","SF2017",4.9267595719328
"29","US95/96","SF2017",4.7138501611641
"30","FH2002","SF2017",4.27135025880847
"31","DH2006b","SF2017",3.12748747578556
"32","NO2009","SF2017",0.713751030273498
"33","YE2006a","SF2017",3.62164992851318
"34","GII.4c","WI2021",4.0665502895308
"35","SY2012","WI2021",1.50951480951288
"36","SF2017","WI2021",0.49224550271416
"37","WI2021","WI2021",0
"38","AL2018","WI2021",2.62820451099739
"39","CW1987","WI2021",4.8172037167357
"40","US95/96","WI2021",4.60890383276738
"41","FH2002","WI2021",4.17381214510087
"42","DH2006b","WI2021",2.81681795281628
"43","NO2009","WI2021",0.225746237561494
"44","YE2006a","WI2021",3.58906035798269
"45","GII.4c","AL2018",2.64159386730752
"46","SY2012","AL2018",1.1925564104176
"47","SF2017","AL2018",2.97027109649742
"48","WI2021","AL2018",2.62820451099739
"49","AL2018","AL2018",0
"50","CW1987","AL2018",2.8707200808749
"51","US95/96","AL2018",2.71489633973077
"52","FH2002","AL2018",2.3982569056531
"53","DH2006b","AL2018",0.300520128184665
"54","NO2009","AL2018",2.53424766244788
"55","YE2006a","AL2018",2.32831473001235
"56","GII.4c","CW1987",1.04165193904852
"57","SY2012","CW1987",3.83460020344175
"58","SF2017","CW1987",4.9267595719328
"59","WI2021","CW1987",4.8172037167357
"60","AL2018","CW1987",2.8707200808749
"61","CW1987","CW1987",0
"62","US95/96","CW1987",0.215772439007963
"63","FH2002","CW1987",0.660105563189886
"64","DH2006b","CW1987",2.57105726044623
"65","NO2009","CW1987",4.83585695871075
"66","YE2006a","CW1987",1.43120321218973
"67","GII.4c","US95/96",0.850273504738298
"68","SY2012","US95/96",3.64954163741131
"69","SF2017","US95/96",4.7138501611641
"70","WI2021","US95/96",4.60890383276738
"71","AL2018","US95/96",2.71489633973077
"72","CW1987","US95/96",0.215772439007963
"73","US95/96","US95/96",0
"74","FH2002","US95/96",0.444708280517989
"75","DH2006b","US95/96",2.4170098020527
"76","NO2009","US95/96",4.630473005395
"77","YE2006a","US95/96",1.22044402729248
"78","GII.4c","FH2002",0.547586911142958
"79","SY2012","FH2002",3.26230712110559
"80","SF2017","FH2002",4.27135025880847
"81","WI2021","FH2002",4.17381214510087
"82","AL2018","FH2002",2.3982569056531
"83","CW1987","FH2002",0.660105563189886
"84","US95/96","FH2002",0.444708280517989
"85","FH2002","FH2002",0
"86","DH2006b","FH2002",2.1081728464101
"87","NO2009","FH2002",4.2006403646488
"88","YE2006a","FH2002",0.80759249195469
"89","GII.4c","DH2006b",2.37352645101522
"90","SY2012","DH2006b",1.43996961622054
"91","SF2017","DH2006b",3.12748747578556
"92","WI2021","DH2006b",2.81681795281628
"93","AL2018","DH2006b",0.300520128184665
"94","CW1987","DH2006b",2.57105726044623
"95","US95/96","DH2006b",2.4170098020527
"96","FH2002","DH2006b",2.1081728464101
"97","DH2006b","DH2006b",0
"98","NO2009","DH2006b",2.74053748972754
"99","YE2006a","DH2006b",2.08523128398734
"100","GII.4c","NO2009",4.12230300942295
"101","SY2012","NO2009",1.37945962630186
"102","SF2017","NO2009",0.713751030273498
"103","WI2021","NO2009",0.225746237561494
"104","AL2018","NO2009",2.53424766244788
"105","CW1987","NO2009",4.83585695871075
"106","US95/96","NO2009",4.630473005395
"107","FH2002","NO2009",4.2006403646488
"108","DH2006b","NO2009",2.74053748972754
"109","NO2009","NO2009",0
"110","YE2006a","NO2009",3.64852792826973
"111","GII.4c","YE2006a",0.480312313627133
"112","SY2012","YE2006a",2.92133788376339
"113","SF2017","YE2006a",3.62164992851318
"114","WI2021","YE2006a",3.58906035798269
"115","AL2018","YE2006a",2.32831473001235
"116","CW1987","YE2006a",1.43120321218973
"117","US95/96","YE2006a",1.22044402729248
"118","FH2002","YE2006a",0.80759249195469
"119","DH2006b","YE2006a",2.08523128398734
"120","NO2009","YE2006a",3.64852792826973
"121","YE2006a","YE2006a",0
